id,title,description,due_date,category,priority,status
1,"work on guitar chords app ","work on guitar chords app ",,note,3,completed
2,"Ceiling fan install","",,task,3,pending
3,"task 1","",,family,3,deferred
4,"Buy more bagged salad","",,task,3,pending
5,"Sign up for xFit","",,note,3,pending
6,"buy groceries","buy groceries",,,3,pending
7,"buy groceries","buy groceries",,task,3,pending
8,"Test task 1","Description for test task 1",,,3,pending
9,"Test task 2","Description for test task 2",,,4,pending
10,"Test task 3","Description for test task 3",,,2,deferred
